Time,CellName,PRBUsageUL,PRBUsageDL,meanThr_DL,meanThr_UL,maxThr_DL,maxThr_UL,meanUE_DL,meanUE_UL,maxUE_DL,maxUE_UL,maxUE_UL+DL,Unusual
18:15,5ALTE,7.377,1.819,0.411,0.045,15.427,2.708,1.132,1.031,4,3,7,0
12:15,7BLTE,0.404,1.112,0.279,0.041,16.371,0.654,1.263,0.01,5,3,8,0
12:45,7CLTE,0.707,2.425,0.895,0.079,22.587,1.034,1.364,0.01,5,3,8,0
8:00,9BLTE,3.032,0.606,0.358,0.04,11.795,0.936,1.071,1.021,3,2,5,0
3:30,5CLTE,3.133,0.404,0.006,0.003,0.501,0.198,1.021,1.011,2,2,4,0
12:30,7BLTE,0.505,1.213,0.38,0.061,16.45,1.305,1.283,0.01,5,3,8,0
16:15,6ALTE,13.743,4.042,2.113,0.1,44.483,1.11,0,0,,,#¡VALOR!,0
10:15,9BLTE,2.728,0.505,0.078,0.014,4.558,0.216,1.021,1.011,3,2,5,0
22:30,1BLTE,20.412,2.021,0.654,0.081,23.808,1.37,1.374,1.061,7,4,11,0
23:15,5ALTE,2.786,0.597,0.131,0.057,5.742,1.995,1.015,0.995,2,2,4,1
5:15,9ALTE,1.493,0.995,0.58,0.023,12.768,0.303,1.015,0.995,2,2,4,1
10:45,5ALTE,1.99,0.697,0.093,0.018,5.144,0.284,1.035,1.005,3,2,5,1
12:00,6ULTE,4.042,10.711,1.947,0.142,30.732,1.094,1.819,0.01,9,5,14,0
14:00,3ALTE,16.02,2.289,0.582,0.085,24.521,1.215,1.244,1.114,5,4,9,1
22:00,7CLTE,0.606,1.112,0.369,0.149,14.337,1.367,1.213,0.01,5,2,7,0
14:45,7WLTE,1.112,1.516,0.157,0.043,8.957,0.616,1.223,0.01,5,4,9,0
19:15,3BLTE,14.046,1.213,0.184,0.052,13.24,1.002,1.192,1.091,4,4,8,0
17:15,7VLTE,0.896,1.99,0.28,0.028,15.668,0.658,1.055,0.01,3,2,5,1
23:00,6CLTE,7.781,0.707,0.194,0.04,13.22,4.862,1.091,0.01,3,2,5,0
7:30,3BLTE,6.871,0.707,0.125,0.023,10.223,0.578,1.071,1.021,4,2,6,0
22:15,1CLTE,33.751,12.53,1.807,0.179,14.49,2.29,2.072,1.859,9,8,17,0
7:00,9BLTE,2.021,0.505,0.092,0.022,2.118,0.255,1.031,1.011,2,2,4,0
21:30,2ALTE,0.1,0.398,0.009,0.006,0.049,0.016,0.995,0.01,1,1,2,1
2:30,1BLTE,9.254,0.796,0.198,0.045,6.403,2.243,1.124,1.015,5,3,8,1
12:45,3CLTE,12.934,1.112,0.32,0.064,15.604,1.759,1.152,1.061,5,3,8,0
13:45,8CLTE,10.812,1.213,0.215,0.035,7.469,0.499,1.172,1.071,5,4,9,0
2:00,6CLTE,3.682,0.498,0.026,0.011,1.099,0.186,1.015,0.01,2,2,4,1
16:30,6CLTE,7.781,1.011,0.263,0.041,23.51,0.932,1.132,0.01,4,2,6,0
4:30,7ULTE,0,0.808,0.002,0.001,0.075,0.024,1.011,0.01,2,1,3,0
4:45,2ALTE,0,0.404,0,0,0,0,0,0,0,0,0,0
20:15,7CLTE,0.808,1.516,0.352,0.061,19.58,0.846,1.273,0.01,4,3,7,0
19:30,6ALTE,10.61,1.819,0.612,0.078,20.219,3.548,1.213,0.01,5,3,8,0
23:00,4BLTE,15.966,2.93,0.827,0.071,28.826,1.092,1.283,1.122,6,5,11,0
8:45,7ULTE,1.213,2.627,0.312,0.042,13.299,1.078,1.213,0.01,5,3,8,0
6:45,10CLTE,1.314,0.505,0.08,0.017,3.264,0.621,1.021,1.011,2,1,3,0
13:00,3CLTE,4.179,0.796,0.214,0.03,19.905,0.452,1.075,1.005,4,2,6,1
11:45,10BLTE,9.095,4.244,0.519,0.041,14.684,1.5,1.152,1.112,4,4,8,0
2:15,10CLTE,2.728,0.808,0.163,0.014,13.054,0.201,1.021,1.011,3,2,5,0
22:30,10ALTE,8.892,1.516,0.423,0.028,17.516,1.003,1.071,1.031,3,3,6,0
13:00,4BLTE,28.092,4.547,0.904,0.151,25.212,0.752,1.566,1.263,8,6,14,0
11:45,4CLTE,15.025,1.393,0.249,0.074,13.062,0.338,1.144,1.104,4,4,8,1
12:15,8BLTE,19.604,3.133,0.815,0.07,10.821,0.54,1.304,1.132,5,4,9,0
14:15,7ULTE,3.234,5.558,0.864,0.102,14.987,1.051,1.506,0.01,8,5,13,0
5:45,6WLTE,0.299,0.796,0.018,0.008,0.562,0.279,1.005,0.01,2,2,4,1
2:15,3CLTE,0.404,0.404,0.008,0.006,0.111,0.057,1.011,1.011,2,1,3,0
8:45,8CLTE,5.558,0.909,0.227,0.022,13.514,0.434,1.061,1.021,4,2,6,0
1:15,7ULTE,0.202,1.112,0.448,0.01,18.908,0.121,1.041,0.01,3,2,5,0
8:00,7VLTE,0.498,0.896,0.033,0.02,3.377,0.495,1.015,0.01,2,3,5,1
1:15,8ALTE,8.856,0.995,0.382,0.045,28.442,0.412,1.154,1.065,5,4,9,1
5:15,9ALTE,0.303,0.404,0.016,0.006,0.15,0.052,1.011,1.011,1,1,2,0
17:00,7CLTE,0.303,1.213,0.219,0.02,17.36,0.217,1.202,0.01,4,3,7,0
5:45,1BLTE,1.314,0.404,0.033,0.012,1.767,0.171,1.031,1.011,2,2,4,0
12:15,10CLTE,6.169,0.796,0.169,0.024,10.049,0.329,1.055,1.005,3,3,6,1
8:45,8BLTE,13.035,1.819,0.461,0.054,11.317,1.104,1.202,1.061,5,4,9,0
6:45,1ALTE,2.526,0.707,0.375,0.02,47.39,0.623,1.031,1.021,3,2,5,0
3:00,3ALTE,3.638,2.627,1.324,0.058,15.487,1.484,1.061,1.021,3,2,5,0
10:45,6VLTE,1.617,3.335,0.398,0.041,13.103,1.391,1.233,0.01,5,4,9,0
2:00,4ALTE,3.436,2.122,1.2,0.051,17.612,0.505,1.051,1.021,3,2,5,0
10:15,9BLTE,1.819,0.505,0.033,0.023,0.944,1.271,1.061,1.021,3,2,5,0
17:15,3CLTE,7.579,1.011,0.229,0.029,22.376,0.697,1.101,1.031,5,3,8,0
9:30,9ALTE,15.259,1.819,0.497,0.056,43.825,0.973,1.253,1.081,6,4,10,0
15:00,6ULTE,2.829,3.84,0.462,0.085,8.841,0.964,1.344,0.01,6,4,10,0
8:45,8BLTE,14.955,4.345,1.831,0.089,52.748,1.723,1.213,1.051,5,3,8,0
18:45,7ALTE,0.299,1.891,0.664,0.072,27.217,0.95,1.124,0.01,4,2,6,1
19:45,4ALTE,4.179,0.697,0.081,0.02,5.971,0.433,1.035,1.005,3,3,6,1
0:15,6BLTE,18.593,11.014,5.302,0.565,57.651,45.35,1.233,0.01,5,4,9,0
17:00,7WLTE,1.112,2.728,0.7,0.067,28.543,0.877,1.223,0.01,4,3,7,0
20:30,5ALTE,7.882,2.829,0.624,0.043,13.524,1.402,1.122,1.051,3,3,6,0
14:45,7VLTE,1.617,3.638,0.437,0.061,15.118,0.83,1.263,0.01,5,3,8,0
20:00,7CLTE,0.303,1.011,0.435,0.053,42.522,2.645,1.122,0.01,4,3,7,0
6:00,5BLTE,5.255,0.404,0.008,0.004,0.269,0.062,1.031,1.021,2,2,4,0
8:15,4ALTE,3.335,0.808,0.365,0.034,18.973,1.534,1.112,1.031,3,2,5,0
16:45,4ALTE,6.766,0.896,0.212,0.028,19.541,0.839,1.065,1.005,5,2,7,1
3:45,10ALTE,4.378,2.189,0.848,0.026,27.992,0.389,1.015,0.995,3,2,5,1
19:00,10BLTE,7.68,1.112,0.44,0.034,56.647,0.394,1.122,1.061,4,3,7,0
18:45,1ALTE,10.149,1.692,0.378,0.043,26.023,0.69,1.194,1.065,4,4,8,1
11:00,4ALTE,2.786,0.796,0.343,0.033,20.382,0.611,1.065,1.005,4,2,6,1
17:45,5CLTE,18.896,3.638,0.741,0.081,23.938,0.548,1.263,1.142,7,5,12,0
7:00,8BLTE,2.786,0.498,0.024,0.01,0.978,0.174,1.025,0.995,3,2,5,1
7:00,8ALTE,9.802,1.415,0.489,0.046,19.545,0.506,1.101,1.021,4,3,7,0
20:45,2ALTE,0.101,0.505,0.067,0.02,0.385,0.088,1.011,0.01,1,1,2,0
0:45,6CLTE,3.133,0.404,0.024,0.008,0.623,0.146,1.031,0.01,2,2,4,0
11:15,10ALTE,8.458,1.99,0.725,0.054,43.917,0.709,1.164,1.025,4,3,7,1
14:00,5CLTE,11.244,1.393,0.342,0.048,13.539,0.697,1.144,1.035,5,4,9,1
16:45,5BLTE,30.416,4.648,1.503,0.142,26.862,2.925,1.657,1.243,7,6,13,0
6:15,1CLTE,10.105,1.011,0.533,0.032,28.044,4.395,1.051,1.021,3,3,6,0
1:00,2ALTE,0.398,0.398,0.064,0.014,2.053,0.137,0.995,0.01,1,1,2,1
4:00,9BLTE,1.011,0.505,0.072,0.018,2.184,0.168,1.021,1.011,2,2,4,0
14:15,1CLTE,24.353,3.941,0.84,0.12,15.127,2.148,1.526,1.243,7,5,12,0
19:00,3ALTE,16.168,1.718,0.401,0.065,10.749,0.696,1.526,1.101,7,5,12,0
0:00,6VLTE,3.436,5.356,0.707,0.081,12.176,0.636,1.384,0.01,5,5,10,0
10:00,6ALTE,14.955,2.223,0.884,0.097,45.89,4.434,1.263,0.01,6,4,10,0
18:15,6VLTE,2.223,2.829,0.271,0.05,4.723,0.402,1.253,0.01,6,4,10,0
5:15,9BLTE,0.707,0.404,0.043,0.024,0.946,0.508,1.011,1.011,2,1,3,0
16:30,8CLTE,7.175,1.213,0.25,0.029,22.032,0.832,1.091,1.041,4,3,7,0
16:45,6BLTE,25.566,2.829,0.576,0.06,28.33,0.552,1.263,0.01,6,4,10,0
1:00,9BLTE,3.483,0.896,0.167,0.023,4.639,1.093,1.045,1.005,3,2,5,1
5:15,6ALTE,3.682,0.796,0.326,0.025,52.471,0.311,1.025,0.01,3,2,5,1
14:45,9ALTE,7.478,1.213,0.401,0.042,25.145,1.343,1.132,1.071,4,3,7,0
9:30,10BLTE,0.796,0.498,0.085,0.017,3.613,0.166,1.005,0.995,2,1,3,1
7:30,1BLTE,4.042,0.808,0.191,0.025,6.438,0.586,1.051,1.011,3,3,6,0
21:30,7CLTE,0.101,0.707,0.179,0.024,5.221,0.419,1.101,0.01,4,2,6,0
20:45,6ALTE,7.175,0.909,0.252,0.07,11.123,2.048,1.202,0.01,4,3,7,0
17:00,7WLTE,0.909,2.829,0.382,0.041,21.007,0.62,1.233,0.01,5,3,8,0
22:45,2ALTE,0.1,0.398,0.031,0.009,0.098,0.027,0.995,0.01,1,1,2,1
6:15,7VLTE,0.101,0.909,0.102,0.018,9.827,0.266,1.021,0.01,2,2,4,0
21:45,10BLTE,4.446,1.112,0.369,0.029,7.506,0.578,1.081,1.021,3,3,6,0
4:15,1BLTE,2.021,0.505,0.095,0.015,11.087,0.446,1.021,1.011,3,1,4,0
17:45,4CLTE,15.721,6.07,1.541,0.059,32.939,1.176,1.204,1.124,5,5,10,1
12:00,3BLTE,10.846,2.189,0.64,0.044,30.834,0.941,1.184,1.085,6,4,10,1
15:15,6WLTE,10.408,5.356,0.735,0.151,19.333,1.389,1.405,0.01,5,5,10,0
11:30,6BLTE,12.338,1.393,0.465,0.041,10.444,0.48,1.114,0.01,4,3,7,1
19:00,4BLTE,24.151,4.042,1.139,0.151,18.866,1.072,1.657,1.182,7,6,13,0
18:00,9BLTE,8.185,0.707,0.122,0.026,6.174,0.409,1.061,1.031,4,3,7,0
5:00,5ALTE,1.294,0.398,0.046,0.013,3.626,0.293,1.015,0.995,2,2,4,1
18:15,5CLTE,13.831,5.771,1.358,0.093,29.023,2.995,1.303,1.124,5,4,9,1
22:00,2ALTE,0.303,0.404,0.006,0.006,0.109,0.03,1.011,0.01,1,1,2,0
8:30,4ALTE,4.749,1.617,0.59,0.034,20.188,0.587,1.071,1.021,3,3,6,0
10:30,4BLTE,28.193,2.728,0.669,0.115,27.644,2.755,1.576,1.253,8,5,13,0
20:30,7CLTE,0.404,0.909,0.256,0.053,9.765,0.86,1.233,0.01,5,3,8,0
19:45,2ALTE,0.202,0.404,0.037,0.011,0.354,0.097,1.011,0.01,1,1,2,0
15:00,6ALTE,10.206,2.728,0.812,0.057,28.515,0.965,1.152,0.01,4,3,7,0
21:15,6ALTE,7.377,1.112,0.332,0.044,19.043,0.664,1.152,0.01,4,2,6,0
7:15,7ULTE,0.303,0.909,0.044,0.013,1.867,0.437,1.041,0.01,2,2,4,0
5:45,7ULTE,0.505,2.122,0.62,0.038,28.064,0.628,1.081,0.01,3,2,5,0
4:15,4BLTE,3.436,0.404,0.009,0.005,0.84,0.235,1.031,1.011,2,2,4,0
8:30,3BLTE,13.035,1.415,0.312,0.053,19.222,3.477,1.213,1.061,5,4,9,0
9:15,4BLTE,28.193,6.669,2.206,0.139,35.862,1.242,1.586,1.273,8,5,13,0
10:15,7ALTE,0.808,3.133,1.101,0.074,51.572,0.667,1.344,0.01,6,4,10,0
19:30,7CLTE,0.303,0.909,0.218,0.031,27.245,1.023,1.122,0.01,5,3,8,0
22:30,5ALTE,7.882,1.314,0.459,0.148,43.606,10.575,1.172,1.132,5,4,9,0
23:45,6CLTE,3.781,0.597,0.157,0.021,11.078,0.665,1.055,0.01,3,3,6,1
18:15,9BLTE,6.265,0.505,0.086,0.018,6.226,0.403,1.041,1.031,3,3,6,0
22:45,10ALTE,6.972,0.909,0.204,0.024,9.495,0.721,1.061,1.021,3,2,5,0
0:45,4BLTE,8.993,0.808,0.164,0.024,17.08,0.951,1.142,1.041,5,3,8,0
2:45,6ALTE,2.526,0.404,0.01,0.007,0.321,0.081,1.021,0.01,2,2,4,0
23:00,2ALTE,0.1,0.398,0.011,0.007,0.028,0.015,0.995,0.01,1,1,2,1
20:00,6VLTE,2.587,7.264,0.647,0.066,10.762,1.461,1.284,0.01,5,4,9,1
8:15,7CLTE,0.505,2.021,0.633,0.04,19.55,0.514,1.132,0.01,4,3,7,0
22:00,9BLTE,7.377,1.314,0.374,0.032,19.346,1.797,1.061,1.081,3,3,6,0
3:30,1CLTE,12.732,1.011,0.323,0.034,8.205,0.445,1.122,1.041,4,4,8,0
10:30,10BLTE,7.074,0.707,0.149,0.028,5.541,0.689,1.081,1.041,4,5,9,0
14:15,2ALTE,0.707,0.707,0.343,0.025,5.39,0.248,1.011,0.01,1,1,2,0
4:15,1BLTE,1.112,0.404,0.015,0.005,0.532,0.191,1.031,1.021,2,2,4,0
19:30,5CLTE,14.551,1.92,0.611,0.065,24.614,0.749,1.223,1.071,5,3,8,0
14:00,6ULTE,2.425,4.749,0.918,0.103,18.709,1.352,1.475,0.01,7,3,10,0
13:00,3BLTE,23.242,3.84,0.861,0.107,22.158,0.904,1.536,1.506,6,7,13,0
19:00,7ULTE,1.718,4.648,0.552,0.046,20.323,0.701,1.223,0.01,5,3,8,0
4:15,10CLTE,1.617,0.404,0.018,0.011,0.668,0.77,1.021,1.011,2,1,3,0
6:45,8CLTE,0.909,0.404,0.009,0.012,0.084,0.345,1.011,1.011,2,1,3,0
3:30,6ULTE,0.498,1.692,0.341,0.032,15.057,0.432,1.035,0.01,3,2,5,1
21:45,7BLTE,0.299,2.687,1.436,0.042,33.427,0.804,1.174,0.01,4,3,7,1
11:00,7ULTE,6.063,8.993,1.863,0.502,51.384,20.461,1.91,0.01,9,6,15,0
1:15,7BLTE,0.299,0.896,0.236,0.044,7.736,1.711,1.294,0.01,5,3,8,1
20:15,4ALTE,9.297,2.324,1.158,0.083,53.467,0.814,1.152,1.031,4,3,7,0
16:30,3ALTE,15.423,3.881,0.899,0.071,27.045,1.012,1.254,1.184,5,5,10,1
17:45,7WLTE,1.011,2.93,0.319,0.044,16.827,0.803,1.233,0.01,5,3,8,0
3:45,6BLTE,5.861,0.505,0.025,0.015,1.123,0.197,1.041,0.01,3,2,5,0
9:30,7WLTE,1.415,2.829,0.472,0.046,24.235,0.492,1.202,0.01,4,3,7,0
1:45,1CLTE,24.577,5.373,2.091,0.104,40.384,0.565,1.512,1.393,7,6,13,1
2:00,7BLTE,0.101,0.606,0.145,0.016,18.57,0.275,1.071,0.01,4,2,6,0
0:30,7BLTE,0.101,0.505,0.094,0.021,4.009,0.746,1.162,0.01,4,2,6,0
11:45,6ULTE,2.526,2.829,0.519,0.083,16.791,1.023,1.597,0.01,9,4,13,0
1:00,10CLTE,5.174,1.493,0.545,0.039,21.439,0.431,1.075,1.025,4,3,7,1
21:30,5BLTE,10.711,1.112,0.33,0.04,11.021,0.449,1.152,1.051,4,4,8,0
13:30,10ALTE,26.475,1.92,0.638,0.397,17.608,1.068,1.405,1.101,6,4,10,0
22:45,8BLTE,8.589,0.707,0.128,0.029,4.162,0.266,1.101,1.021,4,3,7,0
11:45,5BLTE,33.245,4.143,1.96,0.167,26,2.095,1.698,1.344,8,6,14,0
9:45,9ALTE,13.339,1.718,0.679,0.16,29.315,11.517,1.263,1.061,6,3,9,0
0:45,1CLTE,29.203,2.829,0.924,0.242,16.417,4.786,1.516,1.263,7,5,12,0
3:30,9ALTE,0.707,0.404,0.013,0.004,0.459,0.07,1.011,1.011,1,1,2,0
11:15,10ALTE,24.252,2.122,0.616,0.17,38.562,1.268,1.485,1.253,6,6,12,0
12:00,6ULTE,3.032,3.537,0.683,0.08,22.442,2.14,1.394,0.01,6,4,10,0
12:00,3CLTE,6.468,2.488,1.047,0.044,43.31,0.941,1.134,1.045,4,3,7,1
0:30,7BLTE,0.303,1.415,0.543,0.041,44.379,0.675,1.223,0.01,5,3,8,0
20:00,3ALTE,10.004,1.011,0.262,0.031,18.858,0.713,1.122,1.051,4,4,8,0
1:30,9BLTE,1.718,0.707,0.412,0.028,10.906,0.58,1.031,1.011,2,2,4,0
1:00,9ALTE,1.011,0.505,0.232,0.054,5.415,0.479,1.021,1.011,2,2,4,0
9:45,5BLTE,10.149,1.294,0.316,0.057,27.66,0.542,1.124,1.045,4,3,7,1
7:30,9ALTE,1.112,0.404,0.054,0.01,3.988,0.13,1.021,1.011,2,1,3,0
17:00,6BLTE,16.067,6.568,2.816,0.324,57.454,38.727,1.223,0.01,5,4,9,0
11:45,10BLTE,8.993,1.819,0.57,0.059,27.84,1.73,1.182,1.051,5,3,8,0
9:30,1BLTE,5.97,0.796,0.174,0.031,17.01,1.636,1.075,1.015,4,3,7,1
9:45,6WLTE,3.436,2.324,0.244,0.088,11.986,2.855,1.182,0.01,5,3,8,0
11:45,9BLTE,4.143,1.213,0.512,0.027,68.153,0.421,1.061,1.021,3,2,5,0
23:15,2ALTE,0.101,0.404,0.001,0.001,0.001,0.001,1.011,0.01,1,1,2,0
7:45,9ALTE,1.99,0.498,0.075,0.013,2.754,0.241,1.005,0.995,2,2,4,1
18:15,3ALTE,14.349,2.627,0.623,0.067,29.069,1.252,1.273,1.182,5,5,10,0
20:15,5CLTE,16.774,2.021,0.563,0.085,23.146,7.657,1.223,1.071,5,4,9,0
23:45,6WLTE,9.802,2.122,0.215,0.214,12.184,0.698,1.263,0.01,5,4,9,0
21:15,3BLTE,16.774,2.627,0.873,0.089,25.064,1.2,1.233,1.112,5,4,9,0
4:00,1BLTE,2.324,0.606,0.267,0.018,12.67,0.288,1.031,1.011,3,2,5,0
16:00,10CLTE,5.558,1.112,0.328,0.024,12.564,0.415,1.101,1.081,3,3,6,0
7:00,6CLTE,2.93,2.425,1.621,0.052,33.921,0.565,1.041,0.01,3,2,5,0
6:00,4BLTE,4.345,0.707,0.243,0.013,20.585,0.399,1.041,1.021,3,2,5,0
18:15,6ALTE,6.368,0.796,0.208,0.035,13.305,1.942,1.095,0.01,4,2,6,1
7:00,6CLTE,2.223,0.404,0.026,0.01,0.807,0.161,1.051,0.01,4,2,6,0
14:15,2ALTE,0.505,0.404,0.016,0.01,0.103,0.051,1.011,0.01,2,1,3,0
17:30,10BLTE,9.095,1.718,0.568,0.049,44.869,0.919,1.202,1.031,4,3,7,0
18:30,6ALTE,9.353,1.294,0.444,0.066,17.55,2.103,1.174,0.01,5,3,8,1
21:45,8BLTE,12.732,1.92,0.59,0.068,48.506,2.396,1.213,1.051,5,3,8,0
6:45,7ALTE,0,0.404,0.05,0.009,5.2,0.128,1.021,0.01,2,1,3,0
4:30,6ULTE,0.202,0.808,0.04,0.013,2.257,0.212,1.021,0.01,2,2,4,0
10:00,7CLTE,0,0.498,0.067,0.014,3.118,0.236,1.005,0.01,2,2,4,1
1:45,5ALTE,0.606,0.909,0.714,0.032,14.455,0.293,1.021,1.011,2,2,4,0
7:00,7VLTE,0.404,1.011,0.042,0.014,3.4,0.447,1.061,0.01,3,2,5,0
4:30,6BLTE,8.358,1.095,0.34,0.039,18.499,0.511,1.095,0.01,3,3,6,1
2:15,5BLTE,5.174,0.697,0.172,0.012,26.326,0.557,1.025,1.005,3,3,6,1
10:15,7CLTE,0.606,1.213,0.32,0.041,18.3,1.736,1.223,0.01,4,3,7,0
7:45,7CLTE,0.1,0.498,0.293,0.01,7.796,0.219,1.025,0.01,3,3,6,1
18:15,7WLTE,1.718,2.627,0.34,0.043,13.789,0.576,1.182,0.01,4,3,7,0
15:45,7ALTE,0.707,5.356,2.372,0.074,42.473,1.97,1.273,0.01,5,3,8,0
13:00,4BLTE,26.677,3.739,1.268,0.117,45.02,1.513,1.485,1.253,7,5,12,0
19:45,6VLTE,2.93,2.829,0.265,0.099,9.53,0.546,1.334,0.01,6,4,10,0
19:45,3CLTE,6.063,1.112,0.186,0.052,9.753,2.04,1.101,1.031,4,3,7,0
6:30,3CLTE,0.909,0.404,0.027,0.01,1.147,0.105,1.021,1.011,2,1,3,0
17:30,7WLTE,1.011,3.84,0.674,0.041,19.971,0.394,1.192,0.01,5,3,8,0
14:00,5ALTE,13.339,1.617,0.353,0.054,13.629,1.174,1.213,1.081,5,3,8,0
13:30,6CLTE,4.478,0.597,0.175,0.035,10.858,0.88,1.085,0.01,3,3,6,1
13:15,8ALTE,14.726,3.483,1.331,0.076,26.019,0.635,1.244,1.075,5,4,9,1
7:15,8ALTE,8.286,1.314,0.49,0.05,9.069,1.072,1.142,1.031,4,3,7,0
7:00,7ULTE,0.202,1.011,0.175,0.019,20.024,0.34,1.071,0.01,3,2,5,0
7:00,1BLTE,4.85,0.707,0.106,0.011,21.758,0.646,1.061,1.011,4,2,6,0
12:00,6BLTE,12.935,4.378,2.156,0.286,51.421,45.151,1.124,0.01,5,3,8,1
11:45,8CLTE,8.791,1.415,0.268,0.035,4.531,0.393,1.142,1.041,5,3,8,0
12:15,4CLTE,14.955,2.93,0.545,0.06,31.322,0.733,1.293,1.142,5,4,9,0
6:45,6WLTE,10.711,1.92,0.119,0.125,4.718,0.371,1.081,0.01,3,3,6,0
7:15,7ULTE,0.404,1.112,0.16,0.024,5.168,0.287,1.071,0.01,3,2,5,0
14:00,7WLTE,0.398,1.891,0.194,0.017,4.573,0.213,1.065,0.01,4,2,6,1
10:00,10ALTE,22.736,3.638,1.163,0.115,24.227,1.725,1.475,1.182,7,5,12,0
10:15,6BLTE,21.018,8.993,4.384,0.545,57.248,43.766,1.243,0.01,5,4,9,0
